City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches last 3 hours,Snow inches last 3 hours
83,Micheweni,TZ,2020-04-20 01:41:59,-4.97,39.83,80.53,78,100,15.43,light rain,1.87,0.0
84,Leningradskiy,RU,2020-04-20 01:41:59,69.38,178.42,14.41,93,95,10.16,overcast clouds,0.0,0.0
85,Nanortalik,GL,2020-04-20 01:41:59,60.14,-45.24,27.81,86,17,6.93,few clouds,0.0,0.0
86,Busselton,AU,2020-04-20 01:42:00,-33.65,115.33,69.01,42,95,22.88,light rain,0.13,0.0
87,Llano Largo,PA,2020-04-20 01:42:00,7.9,-80.43,80.15,70,52,9.33,broken clouds,0.0,0.0
88,Atuona,PF,2020-04-20 01:42:00,-9.8,-139.03,82.72,75,45,12.82,scattered clouds,0.0,0.0
89,Tuatapere,NZ,2020-04-20 01:42:00,-46.13,167.68,57.99,60,16,7.0,few clouds,0.0,0.0
90,Borogontsy,RU,2020-04-20 01:42:01,62.67,131.17,24.85,80,1,3.06,clear sky,0.0,0.0
91,Kautokeino,NO,2020-04-20 01:42:01,69.01,23.04,35.26,83,100,8.7,light rain,0.51,0.0
92,Naze,JP,2020-04-20 01:42:01,28.37,129.48,71.6,68,20,14.99,few clouds,0.0,0.0
93,Manbij,SY,2020-04-20 01:42:01,36.53,37.95,48.2,87,75,1.97,broken clouds,0.0,0.0
94,Phan Thiet,VN,2020-04-20 01:42:02,10.93,108.1,89.42,49,0,7.72,clear sky,0.0,0.0
95,Geraldton,AU,2020-04-20 01:42:02,-28.77,114.6,69.01,63,0,12.75,clear sky,0.0,0.0
96,Aksarka,RU,2020-04-20 01:42:02,66.56,67.8,33.98,97,100,7.76,overcast clouds,0.0,0.0
97,Dikson,RU,2020-04-20 01:42:02,73.51,80.55,33.6,94,86,17.05,overcast clouds,0.0,0.0
98,Yorito,HN,2020-04-20 01:42:03,15.07,-87.28,72.45,46,42,1.74,scattered clouds,0.0,0.0
99,Half Moon Bay,US,2020-04-20 01:39:31,37.46,-122.43,62.6,67,1,6.93,clear sky,0.0,0.0
100,Presidencia Roque Saenz Pena,AR,2020-04-20 01:42:03,-26.79,-60.44,63.95,61,0,4.03,clear sky,0.0,0.0
101,Marsh Harbour,BS,2020-04-20 01:42:03,26.54,-77.06,79.48,81,63,13.71,broken clouds,0.0,0.0
102,Bestobe,KZ,2020-04-20 01:42:04,52.5,73.1,62.65,41,76,0.78,broken clouds,0.0,0.0
103,Yako,BF,2020-04-20 01:42:04,12.97,-2.27,85.59,41,97,11.5,light rain,0.18,0.0
104,Novo Aripuana,BR,2020-04-20 01:42:04,-5.12,-60.38,74.32,96,99,2.75,overcast clouds,0.0,0.0
105,Nakama,JP,2020-04-20 01:42:04,33.82,130.7,60.8,72,75,17.22,broken clouds,0.0,0.0
106,Volksrust,ZA,2020-04-20 01:42:04,-27.37,29.88,47.44,52,0,0.76,clear sky,0.0,0.0
107,Praia,CV,2020-04-20 01:38:08,14.92,-23.51,69.8,68,40,18.34,scattered clouds,0.0,0.0
