City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,Ancud,CL,2020-04-18 22:50:03,-41.87,-73.82,55.4,93,40,8.05
113,Jerez,GT,2020-04-18 22:54:41,14.1,-89.75,96.8,20,40,2.24
114,Huilong,CN,2020-04-18 22:54:41,31.81,121.66,57.99,93,100,14.7
115,Barrow,US,2020-04-18 22:50:17,71.29,-156.79,5.0,71,1,13.87
116,Alice Springs,AU,2020-04-18 22:53:20,-23.7,133.88,66.2,45,20,5.82
117,Walvis Bay,NA,2020-04-18 22:54:41,-22.96,14.51,55.99,93,0,4.7
118,Antigonish,CA,2020-04-18 22:54:42,45.62,-62.0,37.0,67,94,8.75
119,Botou,CN,2020-04-18 22:54:42,38.07,116.57,58.46,63,93,4.45
120,Sola,VU,2020-04-18 22:54:42,-13.88,167.55,83.26,77,67,11.14
121,Puerto Escondido,MX,2020-04-18 22:54:42,15.85,-97.07,86.0,74,40,8.05
122,Sao Filipe,CV,2020-04-18 22:50:54,14.9,-24.5,71.13,72,28,19.19
123,Muriti,TZ,2020-04-18 22:54:43,-1.98,32.92,66.2,93,75,6.4
124,Burley,US,2020-04-18 22:54:43,42.54,-113.79,64.4,10,1,9.17
125,Taruma,BR,2020-04-18 22:54:43,-22.75,-50.58,64.72,74,0,8.57
126,Clyde River,CA,2020-04-18 22:50:25,70.47,-68.59,8.6,84,90,6.93
127,Quelimane,MZ,2020-04-18 22:54:43,-17.88,36.89,78.8,88,75,5.82
128,Fortuna,US,2020-04-18 22:54:44,40.6,-124.16,57.99,76,90,3.36
129,Vila Franca Do Campo,PT,2020-04-18 22:54:44,37.72,-25.43,62.6,93,75,14.99
130,Gamba,GA,2020-04-18 22:52:29,-2.65,10.0,78.94,84,99,2.15
131,Biltine,TD,2020-04-18 22:54:45,14.53,20.92,76.3,15,1,6.82
132,Taoudenni,ML,2020-04-18 22:49:57,22.68,-3.98,77.72,53,30,15.19
133,Buwenge,UG,2020-04-18 22:54:45,0.64,33.17,65.05,71,100,1.1
134,Killorglin,IE,2020-04-18 22:54:45,52.1,-9.78,49.17,88,89,5.21
135,Atuona,PF,2020-04-18 22:52:53,-9.8,-139.03,82.0,75,95,17.6
136,Almaznyy,RU,2020-04-18 22:54:46,48.04,40.05,39.2,48,90,4.47
137,Miajadas,ES,2020-04-18 22:54:46,39.15,-5.91,57.99,78,75,3.0
138,Shieli,KZ,2020-04-18 22:54:46,44.17,66.75,60.64,29,0,3.87
139,Yertsevo,RU,2020-04-18 22:54:46,60.8,40.09,25.07,97,64,2.89
140,Deori,IN,2020-04-18 22:54:47,21.45,82.62,80.76,26,20,1.07
141,Ahipara,NZ,2020-04-18 22:54:47,-35.17,173.17,67.3,74,91,9.64
142,Panaba,MX,2020-04-18 22:54:47,21.28,-88.27,90.0,43,55,10.54
143,Broome,US,2020-04-18 22:54:47,42.25,-75.83,43.0,51,75,11.41
144,Nikolskoye,RU,2020-04-18 22:54:47,59.7,30.79,37.4,92,90,11.18
145,Asarganj,IN,2020-04-18 22:54:48,25.15,86.68,77.04,54,15,4.03
146,Dehloran,IR,2020-04-18 22:54:48,32.69,47.27,66.69,43,63,2.73
147,Treinta Y Tres,UY,2020-04-18 22:54:48,-33.23,-54.38,59.88,87,5,8.7
148,Hervey Bay,AU,2020-04-18 22:50:56,-25.3,152.85,75.0,94,75,6.11
149,Olga,RU,2020-04-18 22:54:49,43.74,135.29,47.12,54,7,4.29
150,Georgetown,MY,2020-04-18 22:54:49,5.41,100.34,80.6,94,40,3.36
151,Scarborough,GB,2020-04-18 22:54:50,54.28,-0.4,39.0,92,35,8.08
152,Itarema,BR,2020-04-18 22:54:50,-2.92,-39.92,77.56,83,31,1.52
153,Nurota,UZ,2020-04-18 22:54:50,40.56,65.69,55.4,76,7,6.93
154,Margate,GB,2020-04-18 22:54:51,51.38,1.39,46.99,94,19,1.01
155,Kununurra,AU,2020-04-18 22:54:51,-15.77,128.73,78.8,83,68,3.36
156,Mariinsk,RU,2020-04-18 22:54:51,56.21,87.75,39.72,71,9,13.24
157,Te Anau,NZ,2020-04-18 22:52:16,-45.42,167.72,47.26,72,92,9.48
158,Puerto Ayora,EC,2020-04-18 22:54:51,-0.74,-90.35,84.2,70,40,10.29
159,Khani,GE,2020-04-18 22:54:52,41.96,42.96,48.2,93,40,2.24
160,Nanortalik,GL,2020-04-18 22:51:50,60.14,-45.24,28.76,92,89,5.21
161,New Norfolk,AU,2020-04-18 22:54:52,-42.78,147.06,48.99,85,79,2.19
162,Berlevag,NO,2020-04-18 22:54:52,70.86,29.09,34.47,87,70,10.25
163,Avera,US,2020-04-18 22:54:53,33.19,-82.53,75.2,27,1,10.29
